forecast_date,estimation_end,mu,omega,alpha,beta,nu,persistence
2015-10-02,2015-10-01,0.08213229262,0.05274292778,0.1620278354,0.7716852894,6.526479741,0.9337131248
2016-01-04,2015-12-31,0.08090395128,0.0717203332,0.1689071358,0.7297278912,7.065462811,0.8986350269
2016-04-05,2016-04-04,0.07966412489,0.05769879735,0.1723866827,0.7533860638,7.640937456,0.9257727465
2016-07-05,2016-07-01,0.08305550166,0.0719084334,0.2032696954,0.7044391251,7.106738787,0.9077088205
2016-10-03,2016-09-30,0.08121349397,0.06772155659,0.2228463759,0.6948869963,6.562243982,0.9177333722
2017-01-03,2016-12-30,0.07643853045,0.05997783814,0.209363881,0.7135351699,6.357379199,0.9228990509
2017-04-04,2017-04-03,0.07313686901,0.04667269213,0.1940116881,0.7435624779,6.198913614,0.9375741659
2017-07-05,2017-07-03,0.06360537328,0.04165905666,0.1999916715,0.7494630433,5.282780489,0.9494547148
2017-10-03,2017-10-02,0.06901944656,0.03508672882,0.2152690213,0.7511601527,4.755575494,0.966429174
2018-01-03,2018-01-02,0.06994319933,0.02690948184,0.2170404273,0.7641674358,4.666549663,0.981207863
2018-04-05,2018-04-04,0.07408151079,0.0258368177,0.2279569512,0.7652306194,4.543171373,0.9931875706
2018-07-05,2018-07-03,0.06613033655,0.0261742676,0.2306231849,0.7634671017,4.523776986,0.9940902867
2018-10-03,2018-10-02,0.07119857319,0.02356852993,0.2127338295,0.7741155887,4.80445773,0.9868494182
