symbol,config,cost_multiplier,trades,win_rate_pct,payoff,profit_factor,total_return_pct,cagr_pct,max_drawdown_pct,average_exposure_pct,gap_affected_positions,buy_hold_return_pct,exposure_scaled_buy_hold_return_pct,costs,candidate_signals,rejected_signals
BTCUSDT,A-5min-2R,1,1547,32.32062055591467,1.3370269834658883,0.6385038125434042,-53.552985441703235,-10.86594372593429,-54.32834464699413,2.2920090001229085,2,989.5108569622753,22.67967789876867,6470.874155176126,9442,7895
BTCUSDT,A-5min-2R,2,713,30.575035063113603,1.1327560359933195,0.4988703350435225,-53.573541954376005,-10.87186217983892,-54.14044210164571,1.5645283975495208,2,986.899161075319,15.440317630201351,5839.042369536788,9442,8729
BTCUSDT,A-5min-3R,1,1722,25.667828106852497,1.874593791049084,0.6473206684716368,-55.324896110752064,-11.384470740376829,-56.11991535316494,2.8428365814778034,2,989.5108569622753,28.130176619418062,7107.05693252621,9442,7720
BTCUSDT,A-5min-3R,2,1068,25.655430711610485,1.4701708370314834,0.5073385508143909,-65.46883718532344,-14.742679278844717,-65.64383987690702,2.3556337466897177,2,986.899161075319,23.24772968408793,7910.793863649942,9442,8374
BTCUSDT,A-15min-2R,1,754,34.88063660477454,1.4142075130932261,0.7575083013106283,-27.049069436262528,-4.620591365540749,-28.852632240918965,2.8212658730140716,3,989.5108569622753,27.916732117245758,3830.4698185853945,3424,2670
BTCUSDT,A-15min-2R,2,539,33.580705009276436,1.1684423491364586,0.5907487854572598,-40.50673795083111,-7.493943543527504,-41.35585601742996,2.4439182302028533,3,986.899161075319,24.119008511238743,4837.531555932704,3424,2885
BTCUSDT,A-15min-3R,1,716,28.35195530726257,2.0304009398174383,0.8034530034755166,-22.265026520957353,-3.7074986785581854,-24.204158455679835,3.084315864842918,3,989.5108569622753,30.51964034563057,3838.7217778390855,3424,2708
BTCUSDT,A-15min-3R,2,612,27.287581699346404,1.62901608799826,0.611338621788111,-42.493990747494884,-7.964159139782034,-43.27759075772004,2.91432984170637,3,986.899161075319,28.761496758767837,5527.361662313742,3424,2812
BTCUSDT,A-1h-2R,1,305,41.63934426229508,1.2969789983003763,0.9253726560907178,-4.507424527948256,-0.6894376771765631,-12.250984990985081,2.5258167730087893,1,989.5108569622753,24.993231195896158,1534.8026538582465,929,624
BTCUSDT,A-1h-2R,2,294,39.795918367346935,1.079034093904678,0.7132598247844482,-17.758300908989753,-2.890031975343188,-21.724763019586412,2.388291299002408,1,986.899161075319,23.5700267938896,2643.1064049155825,929,635
BTCUSDT,A-1h-3R,1,296,37.5,1.4298652954708015,0.8579191772824809,-8.72500376629125,-1.360065874179206,-15.177660664897886,2.6379083291497287,1,989.5108569622753,26.102389313648718,1454.362438360917,929,633
BTCUSDT,A-1h-3R,2,292,34.24657534246575,1.2703145789553816,0.6616221765392611,-21.603209078428055,-3.5849695253655445,-23.66074400562981,2.5189551099461203,1,986.899161075319,24.85954684792214,2572.0157377268524,929,637
BTCUSDT,B-4h-2R,1,40,37.5,1.9952242489419783,1.197134549365187,2.176830325104162,0.3235436301497252,-3.9858317874268634,1.124760781071533,1,989.5108569622753,11.129630043556507,148.8539047228104,165,125
BTCUSDT,B-4h-2R,2,40,37.5,1.7969118696228796,1.0781471217737277,0.8740382122426782,0.13062132702130747,-3.9910777401180986,1.0652044376576815,1,986.899161075319,10.512493658980727,278.2787519269383,165,125
BTCUSDT,B-4h-3R,1,37,27.027027027027028,2.682789188475215,0.9936256253611908,-0.07625969358390217,-0.011442663189309421,-4.032310455808474,1.2448924979765503,1,989.5108569622753,12.318346424986839,136.00117291306273,165,128
BTCUSDT,B-4h-3R,2,37,27.027027027027028,2.447693499177599,0.9065531478435552,-1.1320525645148738,-0.17063061810809188,-4.203558436642208,1.17678608225417,1,986.899161075319,11.613691973417517,254.71041051474356,165,128
BTCUSDT,C-1d-partial,1,9,11.11111111111111,4.549350493611155,0.5686688117013944,-0.41773991212820105,-0.06277252223603202,-1.4427463231646787,0.4413318555090967,0,989.5108569622753,4.367026625495574,9.562276012822789,18,9
BTCUSDT,C-1d-partial,2,9,11.11111111111111,4.111017546847229,0.5138771933559036,-0.5017358616036804,-0.07542136109732756,-1.4748476698356439,0.43321610159072726,0,986.899161075319,4.275406072242089,18.732420260372386,18,9
BTCUSDT,D-4h-2R,1,25,40,1.6962193614053336,1.1308129076035558,0.9593754791582532,0.14332301381887458,-2.4566247969288524,0.6406772942070543,0,989.5108569622753,6.339571384270941,106.14256778337473,36,11
BTCUSDT,D-4h-2R,2,25,36,1.5110245987366548,0.8499513367893684,-1.1759400510155116,-0.177279011746434,-2.6833176122200597,0.5124155238950792,0,986.899161075319,5.057024506540237,197.51970999116696,36,11
BTCUSDT,D-4h-3R,1,22,36.36363636363637,2.5951947330266405,1.4829684188723662,3.3136412345059485,0.4901860395044144,-2.4345428428118265,0.7749276092960455,0,989.5108569622753,7.667992827582573,93.34324446089944,36,14
BTCUSDT,D-4h-3R,2,22,31.818181818181817,2.348306382497206,1.0958763118320296,0.7089017848114887,0.10601629084519004,-2.6367820801811437,0.6368984494894148,0,986.899161075319,6.285545454912748,173.88619670077327,36,14
BTCUSDT,D-1d-2R,1,7,57.142857142857146,1.9045518522830074,2.5394024697106765,2.346824857429519,0.3485626201300551,-1.4447925640061476,0.3412273404148186,0,989.5108569622753,3.376481580328252,10.646388649015162,10,3
BTCUSDT,D-1d-2R,2,7,57.142857142857146,1.8313880411813632,2.441850721575151,2.1969431893894553,0.32650559083982067,-1.433589494067744,0.33305495672840657,0,986.899161075319,3.286916573872411,20.680593111551083,10,3
