config,cost_multiplier,trades,win_rate_pct,payoff,profit_factor,total_return_pct,cagr_pct,max_drawdown_pct,average_exposure_pct,gap_affected_positions,mean_net_r,worst_month_pct,worst_year_pct,longest_losing_streak,costs,point_target_status
E-1h-2R,0,334,37.4251497005988,2.07956133464691,1.243756779095042,10.20685134169641,1.468511425676966,-4.936347732384839,1.083540769909027,2,0.12871775130472674,-1.1646493984514672,-2.9775586672044496,11,0,FAIL_OR_INSUFFICIENT
E-1h-2R,1,309,34.95145631067961,1.5259786695226751,0.8199288373554673,-8.746055646754103,-1.363478790805328,-10.181290894761174,1.0271200645702772,2,-0.12455261117790782,-1.5475469115921237,-6.124970940046881,11,1795.1763247956394,FAIL_OR_INSUFFICIENT
E-1h-2R,2,223,32.28699551569507,1.2536501028115146,0.5977669364399275,-18.28201833645665,-2.983043858672718,-19.358077161796274,0.7867908440631405,2,-0.25103709274385233,-1.899600251618061,-5.674236813948541,11,2414.985921466335,FAIL_OR_INSUFFICIENT
E-1h-3R,0,314,33.12101910828026,2.692071519972569,1.3332163717959389,13.994745864071456,1.9841604839903937,-5.582114432477758,1.2132929994695787,2,0.17813660727367697,-1.164612487783212,-2.3687301161216645,11,0,FAIL_OR_INSUFFICIENT
E-1h-3R,1,310,30.322580645161292,2.045828967880646,0.8903144582443553,-5.558508419835184,-0.8541762062507563,-10.847237029886948,1.1946428688088662,2,-0.10094619979615153,-1.5712977235258663,-5.615226724255551,15,1834.6352361182064,FAIL_OR_INSUFFICIENT
E-1h-3R,2,270,28.14814814814815,1.6375232214810398,0.6415039424358713,-19.323388287684807,-3.169505991121968,-20.331388320900736,1.0729764993808906,2,-0.2492600491443061,-2.138285820052832,-6.882314943420664,22,2929.4316821849056,FAIL_OR_INSUFFICIENT
E-4h-2R,0,55,40,2.274764189001392,1.5165094593342614,6.488178886285723,0.9474167955820345,-3.3433640110709595,0.7718898534451727,0,0.19892372219922919,-1.3367414371139863,-1.198068536618635,7,0,FAIL_OR_INSUFFICIENT
E-4h-2R,1,55,40,1.8509811470486428,1.233987431365762,3.1068055018338425,0.4599828622005919,-4.1986791616200225,0.7272635119361738,0,0.08875746011015787,-1.6101990051416881,-2.3419605108143893,7,281.2829392882623,FAIL_OR_INSUFFICIENT
E-4h-2R,2,55,38.18181818181818,1.6425757491109825,1.0145320803332538,0.20081416397301766,0.030096448351724092,-5.2181580804150585,0.6754921188678218,0,-0.002788234191209821,-1.8437303688427886,-3.3355468562206614,8,517.082944941475,FAIL_OR_INSUFFICIENT
E-4h-3R,0,51,41.1764705882353,2.7142925410807903,1.9000047787565528,10.146751808821431,1.460209368360088,-3.348724969080341,0.9018753856213148,0,0.3443533533130351,-1.3365674769427516,-0.9454439303194007,7,0,FAIL_OR_INSUFFICIENT
E-4h-3R,1,51,41.1764705882353,2.1961317327450653,1.5372922129215456,6.455767028641213,0.9428073872980836,-4.233578437490193,0.8472139590805007,0,0.22240452388254583,-1.6102695050676408,-2.096044813824205,7,268.00288772125924,FAIL_OR_INSUFFICIENT
E-4h-3R,2,51,37.254901960784316,2.1367701393994993,1.2687072702684528,3.383918147976628,0.5004365241965569,-4.972011065972093,0.7859878430854579,0,0.12076369270736625,-1.8438266574104856,-3.069023408626703,8,492.893430128739,FAIL_OR_INSUFFICIENT
F-15min-2R,0,1207,31.897265948632974,1.964671884155414,0.9201930357662219,-9.18240546823197,-1.4343706650242427,-12.987674714318953,2.472792774012376,2,-0.07688839005342674,-1.8861655275425493,-6.467115160087533,14,0,FAIL_OR_INSUFFICIENT
F-15min-2R,1,925,28,1.4526923352081187,0.5649359081364906,-48.37452045180905,-9.441417734584356,-48.724967271681706,2.13334127869805,2,-0.35317905780300135,-3.546967747799512,-13.140973677414703,12,3988.587913797021,FAIL_OR_INSUFFICIENT
F-15min-2R,2,396,29.292929292929294,1.2404389436563188,0.5138961338004749,-37.52810042378957,-6.813562993658861,-38.14813482193692,1.2317534847539957,1,-0.3540294358562286,-3.688477336165419,-12.452560375365373,14,3729.0729297554803,FAIL_OR_INSUFFICIENT
F-15min-3R,0,1118,25.670840787119857,2.6819343834740423,0.9262517064465106,-8.743681383321322,-1.3630938433421558,-12.889116634617814,3.213306459153681,4,-0.06048649708010686,-1.7518930611985395,-5.410611521061382,17,0,FAIL_OR_INSUFFICIENT
F-15min-3R,1,1037,22.950819672131146,1.974320753506243,0.5880955435976043,-50.547110609215615,-10.023571441025869,-51.319115987715215,3.078629369660816,4,-0.3496237980911995,-3.1675851123500465,-14.078250689356143,17,4330.273882940985,FAIL_OR_INSUFFICIENT
F-15min-3R,2,705,21.70212765957447,1.6190328624669452,0.44875367383594683,-60.09779756950493,-12.873648055295329,-60.40575658936456,2.4886431131690205,4,-0.4436243652629427,-4.433044002676212,-18.53245874212809,17,5401.39518438877,FAIL_OR_INSUFFICIENT
