model,forecast,lower,upper,quarter,history_end,actual,split
ARIMA,2.793680853,-3.623024506,9.210386212,2007Q2,2007Q1,3.165359667,test
VAR,3.3374465,-2.783764422,9.458657423,2007Q2,2007Q1,3.165359667,test
VECM,3.3374465,-2.735501822,9.410394823,2007Q2,2007Q1,3.165359667,test
Historical mean,3.282348467,,,2007Q2,2007Q1,3.165359667,test
Random walk,0,,,2007Q2,2007Q1,3.165359667,test
ARIMA,2.945307065,-3.45497019,9.34558432,2007Q3,2007Q2,3.532739125,test
VAR,1.989151968,-4.115892664,8.0941966,2007Q3,2007Q2,3.532739125,test
VECM,1.989151968,-4.068009222,8.046313158,2007Q3,2007Q2,3.532739125,test
Historical mean,3.281742307,,,2007Q3,2007Q2,3.532739125,test
Random walk,0,,,2007Q3,2007Q2,3.532739125,test
ARIMA,3.327250956,-3.057047867,9.711549778,2007Q4,2007Q3,2.100605606,test
VAR,2.397211313,-3.695654792,8.490077417,2007Q4,2007Q3,2.100605606,test
VECM,2.397211313,-3.648115448,8.442538073,2007Q4,2007Q3,2.100605606,test
Historical mean,3.283036105,,,2007Q4,2007Q3,2.100605606,test
Random walk,0,,,2007Q4,2007Q3,2.100605606,test
ARIMA,3.077054806,-3.293167165,9.447276776,2008Q1,2007Q4,-0.7290201918,test
VAR,2.052791295,-4.02424827,8.129830859,2008Q1,2007Q4,-0.7290201918,test
VECM,2.052791295,-3.97707778,8.082660369,2008Q1,2007Q4,-0.7290201918,test
Historical mean,3.276972359,,,2008Q1,2007Q4,-0.7290201918,test
Random walk,0,,,2008Q1,2007Q4,-0.7290201918,test
ARIMA,2.237931914,-4.138179901,8.61404373,2008Q2,2008Q1,1.445771517,test
VAR,1.124752442,-4.949082252,7.198587135,2008Q2,2008Q1,1.445771517,test
VECM,1.124752442,-4.902179352,7.151684235,2008Q2,2008Q1,1.445771517,test
Historical mean,3.256533622,,,2008Q2,2008Q1,1.445771517,test
Random walk,0,,,2008Q2,2008Q1,1.445771517,test
ARIMA,2.261739232,-4.099104666,8.62258313,2008Q3,2008Q2,-2.712544557,test
VAR,1.440066249,-4.618179076,7.498311574,2008Q3,2008Q2,-2.712544557,test
VECM,1.440066249,-4.571636169,7.451768667,2008Q3,2008Q2,-2.712544557,test
Historical mean,3.247341936,,,2008Q3,2008Q2,-2.712544557,test
Random walk,0,,,2008Q3,2008Q2,-2.712544557,test
ARIMA,1.656020972,-4.725915313,8.037957257,2008Q4,2008Q3,-5.521931894,test
VAR,-0.5015830133,-6.571996075,5.568830048,2008Q4,2008Q3,-5.521931894,test
VECM,-0.5015830133,-6.525597333,5.522431306,2008Q4,2008Q3,-5.521931894,test
Historical mean,3.217241499,,,2008Q4,2008Q3,-5.521931894,test
Random walk,0,,,2008Q4,2008Q3,-5.521931894,test
ARIMA,0.1851889178,-6.256561095,6.626938931,2009Q1,2008Q4,-6.644791897,test
VAR,-0.388894382,-6.483031662,5.705242898,2009Q1,2008Q4,-6.644791897,test
VECM,-0.388894382,-6.43668774,5.658898976,2009Q1,2008Q4,-6.644791897,test
Historical mean,3.173326055,,,2009Q1,2008Q4,-6.644791897,test
Random walk,0,,,2009Q1,2008Q4,-6.644791897,test
ARIMA,-0.8766293106,-7.368241614,5.614982993,2009Q2,2009Q1,-0.740499057,test
VAR,1.521383759,-4.61738221,7.660149729,2009Q2,2009Q1,-0.740499057,test
VECM,1.521383759,-4.570934386,7.613701904,2009Q2,2009Q1,-0.740499057,test
Historical mean,3.124235465,,,2009Q2,2009Q1,-0.740499057,test
Random walk,0,,,2009Q2,2009Q1,-0.740499057,test
ARIMA,0.4419614716,-6.033509745,6.917432689,2009Q3,2009Q2,2.744875033,test
VAR,0.6077074066,-5.523196693,6.738611507,2009Q3,2009Q2,2.744875033,test
VECM,0.6077074066,-5.477041175,6.692455989,2009Q3,2009Q2,2.744875033,test
Historical mean,3.10500793,,,2009Q3,2009Q2,2.744875033,test
Random walk,0,,,2009Q3,2009Q2,2.744875033,test
